"deckID";"sizeWidth";"sizeLength";"material";"build";"brandName";"proModel"
1;9.0;32.0;"FLIGHT";"Twin Nose";"Powell Peralta";"Andy Anderson"
2;9.0;32.0;"7-Ply";"Popsicle";"Tactics";"Keep Pushing"
3;9.0;32.0;"7-Ply";"Popsicle";"Baker";"Brand Logo"
4;8.0;32.0;"Slick R1";"Twin Tail";"Real";"Ishod Feathers"
5;9.0;33.0;"7-Ply";"Popsicle";"Tactics";"Realshroom"
6;8.0;32.0;"7-Ply";"Popsicle";"Creature";"Gardner"
7;9.0;32.0;"7-Ply";"Popsicle";"Tactics";"The Window"
8;9.0;32.0;"7-Ply";"Popsicle";"Birdhouse";"Elliot Sloan"
9;8.0;32.0;"7-Ply";"Shaped";"Krooked";"Cromer Hojas"
